CustomerID,Frequency,TotalUnits,TotalSpent,Recency,Cluster,PCA1,PCA2
12346.0,1,74215,77183.6,325,1,12.965374380185608,7.293542390465571
12347.0,7,2458,4309.999999999997,1,0,0.6523827732839926,-0.7943835223307776
12348.0,4,2341,1797.24,74,0,0.13541604022156095,-0.11447664949883322
12349.0,1,631,1757.55,18,0,-0.15593297930236472,-0.6494781569541588
12350.0,1,197,334.40000000000003,309,2,-0.8660465230414283,2.018456491183683
12352.0,8,536,2506.040000000001,35,0,0.3041449461860971,-0.6261315898267539
12353.0,1,20,89.0,203,2,-0.6977291342641706,1.0131412485361166
12354.0,1,530,1079.4,231,2,-0.6259337696991989,1.3217711003171242
12355.0,1,240,459.4,213,2,-0.666498548380811,1.1254281591906554
12356.0,3,1591,2811.4300000000007,22,0,0.1497913805436363,-0.5870429808429999
12357.0,1,2708,6207.669999999996,32,0,0.358082107405074,-0.31796525712488055
12358.0,2,248,1168.06,1,0,-0.14247645645370005,-0.861199317918923
12359.0,4,1622,6372.580000000005,57,0,0.38680122608700995,-0.19165187394494024
12360.0,3,1165,2662.0600000000004,51,0,0.03320515222686737,-0.3380274733573604
12361.0,1,91,189.89999999999998,286,2,-0.8435823031760065,1.7951202157966557
12362.0,10,2229,5226.230000000003,2,0,0.8789597548529504,-0.8366497418853007
12363.0,2,408,552.0,109,0,-0.3738384799616836,0.14077590368152415
12364.0,4,1506,1313.1000000000001,7,0,0.13435658649816573,-0.7895530346759437
12365.0,2,174,641.38,290,2,-0.7466106346818092,1.8258841640196772
12367.0,1,173,168.9,3,0,-0.2864718471873922,-0.8490366362384092
12370.0,4,2353,3545.689999999998,50,0,0.29937831915623514,-0.29520553839190716
12371.0,2,591,1887.9600000000003,44,0,-0.13748860685535536,-0.42622401061968235
12372.0,3,794,1298.0400000000002,71,0,-0.1400018182481829,-0.20084627889451462
12373.0,1,197,364.6,310,2,-0.8659821141322644,2.028557565159386
12374.0,1,342,742.93,24,0,-0.2691012325009897,-0.6310398260274823
12375.0,2,178,457.5000000000001,10,0,-0.21535941246905538,-0.7976372020129329
12377.0,2,944,1628.1199999999997,314,2,-0.6365166704065417,2.1083340486688535
12378.0,1,2529,4008.6200000000013,129,0,0.0028897893041877416,0.5271921332217574
12379.0,2,407,852.2399999999997,81,0,-0.29973981159155105,-0.1137561841047403
12380.0,4,1127,2724.81,21,0,0.15599285925786185,-0.6401892160634117
12381.0,5,808,1845.3100000000006,4,0,0.1577864772218284,-0.8562953979191175
12383.0,5,1532,1850.5599999999997,184,2,-0.1051986282093919,0.8591133331134329
12384.0,2,126,585.2700000000001,28,0,-0.24794512950835143,-0.6283685244538317
12386.0,2,354,401.90000000000003,337,2,-0.8323290502872092,2.267445144286408
12388.0,6,1462,2780.6600000000003,15,0,0.3408937053796376,-0.723208846057659
12390.0,1,353,549.8399999999999,79,0,-0.3872655382309314,-0.12086115585933918
12391.0,1,300,460.88999999999993,21,0,-0.2869684047237535,-0.6679079206498935
12393.0,4,816,1582.6000000000004,71,0,-0.05357014953133934,-0.21428484986857188
12394.0,2,819,1272.48,63,0,-0.18817164419760005,-0.25378674524782263
12395.0,12,2118,3018.6299999999987,18,0,0.8182225487020213,-0.7892941416124033
12397.0,2,1263,2409.9000000000005,35,0,-0.005841402911656975,-0.4682252571477283
12398.0,1,1394,1635.6599999999999,45,0,-0.12603727339047105,-0.36669211974662436
12399.0,4,1178,1108.65,118,0,-0.13329520504831313,0.22940554652033543
12401.0,1,11,84.3,302,2,-0.8910877625285122,1.9386886280601268
12402.0,1,94,225.6,322,2,-0.9106699276297421,2.132881459528828
12403.0,1,96,427.7,49,0,-0.3676221733647198,-0.4157014052276887
12405.0,1,857,1710.3900000000006,148,2,-0.3843993809129269,0.575233870054448
12406.0,2,1818,3415.300000000001,21,0,0.15372380254745038,-0.5501360793116434
12407.0,5,1416,1708.1199999999997,49,0,0.13340907615902023,-0.4122666352648964
12408.0,5,1409,2888.5500000000006,32,0,0.24386211287846155,-0.5423941522382383
12409.0,3,5551,11072.670000000002,78,0,1.0581594682328936,0.31364070082687734
12410.0,2,211,693.3299999999999,308,2,-0.7736888066445615,1.9971547902095321
12412.0,3,829,1226.8799999999999,74,0,-0.14639644401428434,-0.1730192949744667
12413.0,3,286,758.0999999999999,66,0,-0.22627639154617363,-0.2831029304929261
12414.0,3,300,562.41,216,2,-0.5284823578734532,1.1157814510450619
12415.0,21,77374,124914.52999999975,23,1,18.390700550079288,5.358110353047876
12417.0,9,1552,3649.1,2,0,0.6292192674344859,-0.8837171918806943
12418.0,1,407,668.5799999999997,112,0,-0.436987760293725,0.19311355496113722
12420.0,1,345,600.3900000000001,63,0,-0.35383176497482155,-0.2696249292107609
12421.0,4,484,807.0400000000002,15,0,-0.035738674006657305,-0.7717609270294029
12422.0,3,370,803.5599999999998,95,0,-0.26955147464958573,-0.00705018558572383
12423.0,8,1339,1859.3100000000002,0,0,0.42418698521580406,-0.9345385794981844
12424.0,2,740,1760.9599999999998,162,2,-0.35709850951732397,0.680909531395166
12425.0,1,496,777.1999999999999,77,0,-0.3513714444570334,-0.12771593787170915
12426.0,1,258,582.7299999999999,194,2,-0.6193401286052986,0.951534948924603
12427.0,3,533,825.8000000000002,21,0,-0.1052752973818945,-0.6916022301716852
12428.0,9,3536,7956.460000000004,25,0,1.105298719243091,-0.4756000410768061
12429.0,4,1557,3750.400000000001,8,0,0.3001580708631683,-0.7176922050760389
12430.0,1,117,256.4,42,0,-0.36292616049150117,-0.4845022083995288
12431.0,15,2906,6487.449999999999,35,0,1.3035384991305183,-0.5744524548937148
12432.0,5,1801,5059.3200000000015,42,0,0.4149030786515571,-0.3780831372854056
12433.0,7,11071,13375.869999999992,0,0,2.2755945419149715,-0.204272582886006
12434.0,2,394,806.14,84,0,-0.3101551486726901,-0.0874004884512753
12435.0,2,2055,7829.889999999998,79,0,0.3621963979320867,0.11191835451552327
12436.0,1,211,509.01000000000005,99,0,-0.4455716053390353,0.0590246469093367
12437.0,18,2922,4951.409999999997,1,0,1.4643008375198552,-0.9940938134709488
12438.0,2,1180,2906.8500000000004,13,0,0.05996373555336932,-0.6653396188329184
12441.0,1,121,173.55,366,2,-0.9962512831750054,2.5443506187092915
12442.0,1,182,172.06,2,0,-0.2832573727498164,-0.8579204871763038
